TeamName,TotalPoints
Mercedes,573.0
Red Bull Racing,319.0
Racing Point,210.0
McLaren,202.0
Renault,181.0
Ferrari,131.0
AlphaTauri,107.0
Alfa Romeo Racing,8.0
Haas F1 Team,3.0
Williams,0.0
