TeamName,TotalPoints
Red Bull Racing,790.0
Mercedes,374.0
Ferrari,363.0
Aston Martin,266.0
McLaren,266.0
Alpine,110.0
Williams,26.0
AlphaTauri,22.0
Alfa Romeo,16.0
Haas F1 Team,9.0
