Round,Race,Rain
1,Bahrain Grand Prix,False
2,Saudi Arabian Grand Prix,False
3,Australian Grand Prix,False
4,Azerbaijan Grand Prix,False
5,Miami Grand Prix,False
6,Monaco Grand Prix,True
7,Spanish Grand Prix,False
8,Canadian Grand Prix,False
9,Austrian Grand Prix,True
10,British Grand Prix,False
11,Hungarian Grand Prix,False
12,Belgian Grand Prix,True
13,Dutch Grand Prix,True
14,Italian Grand Prix,False
15,Singapore Grand Prix,False
16,Japanese Grand Prix,False
17,Qatar Grand Prix,False
18,United States Grand Prix,False
19,Mexico City Grand Prix,False
20,Sao Paulo Grand Prix,True
21,Las Vegas Grand Prix,False
22,Abu Dhabi Grand Prix,False
