TeamName,TotalPoints
Red Bull Racing,724.0
Ferrari,519.0
Mercedes,495.0
Alpine,170.0
McLaren,150.0
Aston Martin,55.0
Alfa Romeo,53.0
AlphaTauri,35.0
Haas F1 Team,33.0
Williams,8.0
