Round,Race,Rain
1,Bahrain Grand Prix,False
2,Saudi Arabian Grand Prix,False
3,Australian Grand Prix,False
4,Emilia Romagna Grand Prix,False
5,Miami Grand Prix,True
6,Spanish Grand Prix,False
7,Monaco Grand Prix,True
8,Azerbaijan Grand Prix,False
9,Canadian Grand Prix,False
10,British Grand Prix,True
11,Austrian Grand Prix,False
12,French Grand Prix,False
13,Hungarian Grand Prix,True
14,Belgian Grand Prix,False
15,Dutch Grand Prix,False
16,Italian Grand Prix,False
17,Singapore Grand Prix,True
18,Japanese Grand Prix,True
19,United States Grand Prix,False
20,Mexico City Grand Prix,False
21,Sao Paulo Grand Prix,False
22,Abu Dhabi Grand Prix,False
