TeamName,TotalPoints
McLaren,523.0
Ferrari,237.0
Mercedes,222.0
Red Bull Racing,177.0
Williams,67.0
Kick Sauber,51.0
Aston Martin,48.0
Racing Bulls,41.0
Haas F1 Team,29.0
Alpine,19.0
