Round,Race,Rain
1,Australian Grand Prix,True
2,Chinese Grand Prix,False
3,Japanese Grand Prix,False
4,Bahrain Grand Prix,False
5,Saudi Arabian Grand Prix,False
6,Miami Grand Prix,True
7,Emilia Romagna Grand Prix,False
8,Monaco Grand Prix,False
9,Spanish Grand Prix,False
10,Canadian Grand Prix,True
11,Austrian Grand Prix,False
12,British Grand Prix,True
13,Belgian Grand Prix,True
14,Hungarian Grand Prix,False
