Race,TeamName,Points,Placement
15,Alfa Romeo Racing,7.0,9
15,Haas F1 Team,0.0,10
16,Mercedes,427.5,1
16,Red Bull Racing,392.5,2
16,McLaren,239.0,3
16,Ferrari,232.5,4
16,Alpine,104.0,5
16,AlphaTauri,92.0,6
16,Aston Martin,61.0,7
16,Williams,23.0,8
16,Alfa Romeo Racing,7.0,9
16,Haas F1 Team,0.0,10
17,Mercedes,454.5,1
17,Red Bull Racing,432.5,2
17,McLaren,253.0,3
17,Ferrari,250.5,4
17,Alpine,104.0,5
17,AlphaTauri,94.0,6
17,Aston Martin,62.0,7
17,Williams,23.0,8
17,Alfa Romeo Racing,7.0,9
17,Haas F1 Team,0.0,10
18,Mercedes,472.5,1
18,Red Bull Racing,472.5,2
18,Ferrari,268.5,3
18,McLaren,254.0,4
18,AlphaTauri,106.0,5
18,Alpine,106.0,6
18,Aston Martin,68.0,7
18,Williams,23.0,8
18,Alfa Romeo Racing,11.0,9
18,Haas F1 Team,0.0,10
19,Mercedes,512.5,1
19,Red Bull Racing,503.5,2
19,Ferrari,286.5,3
19,McLaren,255.0,4
19,AlphaTauri,112.0,5
19,Alpine,112.0,6
19,Aston Martin,68.0,7
19,Williams,23.0,8
19,Alfa Romeo Racing,11.0,9
19,Haas F1 Team,0.0,10
20,Mercedes,537.5,1
20,Red Bull Racing,534.5,2
20,Ferrari,296.5,3
20,McLaren,257.0,4
20,Alpine,137.0,5
20,AlphaTauri,112.0,6
20,Aston Martin,77.0,7
20,Williams,23.0,8
20,Alfa Romeo Racing,11.0,9
20,Haas F1 Team,0.0,10
21,Mercedes,578.5,1
21,Red Bull Racing,552.5,2
21,Ferrari,306.5,3
21,McLaren,268.0,4
21,Alpine,149.0,5
21,AlphaTauri,120.0,6
21,Aston Martin,77.0,7
21,Williams,23.0,8
21,Alfa Romeo Racing,13.0,9
21,Haas F1 Team,0.0,10
22,Mercedes,604.5,1
22,Red Bull Racing,578.5,2
22,Ferrari,322.5,3
22,McLaren,274.0,4
22,Alpine,155.0,5
22,AlphaTauri,142.0,6
22,Aston Martin,77.0,7
22,Williams,23.0,8
22,Alfa Romeo Racing,13.0,9
22,Haas F1 Team,0.0,10
