Round,Race,Rain
1,Bahrain Grand Prix,False
2,Emilia Romagna Grand Prix,True
3,Portuguese Grand Prix,False
4,Spanish Grand Prix,False
5,Monaco Grand Prix,False
6,Azerbaijan Grand Prix,False
7,French Grand Prix,False
8,Styrian Grand Prix,False
9,Austrian Grand Prix,True
10,British Grand Prix,False
11,Hungarian Grand Prix,True
12,Belgian Grand Prix,True
13,Dutch Grand Prix,False
14,Italian Grand Prix,False
15,Russian Grand Prix,True
16,Turkish Grand Prix,False
17,United States Grand Prix,False
18,Mexico City Grand Prix,False
19,Sao Paulo Grand Prix,False
20,Qatar Grand Prix,True
21,Saudi Arabian Grand Prix,False
22,Abu Dhabi Grand Prix,False
