TeamName,TotalPoints
Mercedes,604.5
Red Bull Racing,578.5
Ferrari,322.5
McLaren,274.0
Alpine,155.0
AlphaTauri,142.0
Aston Martin,77.0
Williams,23.0
Alfa Romeo Racing,13.0
Haas F1 Team,0.0
